ACCESSION	IRIS_ID	SUBPOPULATION	COUNTRY
ARC 7281::IRGC 24252-2	IRIS_313-10933	aro	India
VAIKATHARYAN::IRGC 52805-1	IRIS_313-11461	ind2	India
NERICA 2	CX372	trop	
MATIANG::IRGC 18220-1	IRIS_313-10792	ind3	Indonesia
YRM 6-2::GERVEX 1508-C1	IRIS_313-8164	temp	
IR42	CX161	ind1B	
RACION 1::IRGC 11340-1	IRIS_313-10649	trop	Philippines
KALAPATLE::IRGC 68500-1	IRIS_313-10025	admix	Madagascar
ITA 221	B190	trop	
DO KHAW::IRGC 106977-1	IRIS_313-12334	ind3	Lao People's Democratic Republic
DOC PHUNG D 12::IRGC 10234-1	IRIS_313-9131	ind3	Viet Nam
ZHENFU 8	B047	temp	
KASIGNAYAN::IRGC 82788-1	IRIS_313-12073	trop	Philippines
BANTA TIMA::IRGC 69474-1	IRIS_313-10045	indx	Gambia
LOBANG (WHITE)::IRGC 44548-2	IRIS_313-11338	indx	Philippines
DAYRON MARANGRAS::IRGC 75209-1	IRIS_313-11928	trop	Philippines
PAI CHUEH CHIU LIU::IRGC 34259-1	IRIS_313-9065	ind1A	China
PAIRJAT::IRGC 37252-2	IRIS_313-11207	ind2	Bangladesh
MOSHI::IRGC 69737-1	IRIS_313-11785	ind3	Tanzania
IRGA 370-38-1-1F-C4-2::IRGC 117342-1	IRIS_313-10400	ind1B	Colombia
BORO 394::IRGC 29297-2	IRIS_313-11065	aus	Bangladesh
POHHERLIMASION::IRGC 62025-1	IRIS_313-11630	aro	Nepal
PAH PIANG::IRGC 24452-2	IRIS_313-10934	ind3	Thailand
SALSI::IRGC 52833-1	IRIS_313-11462	aus	India
MELIK::IRGC 18238-2	IRIS_313-10793	trop	Indonesia
NERICA 8	CX373	trop	
REXMONT::GERVEX 1669-C1	IRIS_313-8202	trop	
NAHNG PRAYAH 132::IRGC 11470-1	IRIS_313-10650	ind3	Thailand
TN1	CX162	ind1A	
ESTRELA A::IRGC 72918-1	IRIS_313-10061	japx	Portugal
DO LEUANG::IRGC 106990-1	IRIS_313-12336	subtrop	Lao People's Democratic Republic
80A60YR71009-1-5	B191	trop	
TUMBA::IRGC 66681-1	IRIS_313-9188	ind3	Indonesia
MAVOLATSIKA::IRGC 83137-1	IRIS_313-12082	ind2	Madagascar
CISOKAN	B048	ind1B	
CHAMA (DWARF)::IRGC 69487-1	IRIS_313-10046	ind1B	Zambia
GILINGAN MARANGRAS::IRGC 75213-1	IRIS_313-11929	trop	Philippines
MILAGROSA::IRGC 44634-2	IRIS_313-11339	ind2	Philippines
AUS 177::IRGC 29009-1	IRIS_313-9066	ind1B	Bangladesh
N'YA NOFF::IRGC 69749-1	IRIS_313-11786	ind3	Gambia
PARIJAT::IRGC 37272-2	IRIS_313-11208	indx	Bangladesh
XITTO::IRGC 6671-1	IRIS_313-8622	ind2	India
SETO JHINUWA::IRGC 62043-1	IRIS_313-11632	aro	Nepal
PANGETAN::IRGC 26942-1	IRIS_313-10994	trop	Philippines
FEDEARROZ 50::G1	IRIS_313-15896	ind1B	
BRONDOL PUTIH::IRGC 24541-1	IRIS_313-10935	ind3	Indonesia
KATSIYAM TABAO::IRGC 52855-1	IRIS_313-11463	indx	Philippines
NERICA 9	CX374	trop	
MENDUNGAN::IRGC 18245-1	IRIS_313-10794	trop	Indonesia
SLAVA::GERVEX 1287-C1	IRIS_313-8143	japx	
WUYUGENG 3	CX165	temp	
PHOU SAO LEUM NYANG::IRGC 11570-2	IRIS_313-10651	indx	Lao People's Democratic Republic
REA::IRGC 73031-1	IRIS_313-10062	trop	Greece
R42	B192	admix	
DOK HIEN NOI::IRGC 107021-1	IRIS_313-12337	subtrop	Lao People's Democratic Republic
TONG MAH::IRGC 65577-1	IRIS_313-9288	ind3	Thailand
ZACAODAO 13	B049	aus	
SARIN TSIPALA::IRGC 83154-1	IRIS_313-12083	ind2	Madagascar
EX MARABA GURUKU::IRGC 69582-1	IRIS_313-10047	ind1A	Nigeria
MINANOK::IRGC 44637-2	IRIS_313-11340	trop	Philippines
ITA 117::IRGC 75235-1	IRIS_313-11930	ind1B	Nigeria
BHOJON KOLPO::IRGC 31727-1	IRIS_313-9067	ind2	Bangladesh
VADAI::IRGC 37341-1	IRIS_313-11209	ind2	Bangladesh
TANDAKAY FINGO::IRGC 69793-1	IRIS_313-11787	ind2	Gambia
MAE YEU::IRGC 64509-1	IRIS_313-9575	ind3	Thailand
GASMAL 339::IRGC 29333-1	IRIS_313-11066	admix	Bangladesh
KHAO BAWNG::IRGC 61260-1	IRIS_313-11608	ind3	Thailand
SANHUANGZHAN NO 2::G1	IRIS_313-15897	indx	
KETAN GUNDIL::IRGC 24568-1	IRIS_313-10936	trop	Indonesia
CARAWI::IRGC 52887-1	IRIS_313-11464	trop	Philippines
MLATI::IRGC 18278-1	IRIS_313-10795	trop	Indonesia
NERICA-L-1	CX375	ind1B	
KULON::GERVEX 1473-C1	IRIS_313-8155	japx	
CHAO PEUAK DENG::IRGC 11602-1	IRIS_313-10652	ind3	Lao People's Democratic Republic
YUEXIANGZHAN	CX17	indx	
JAERAERYUKDO::IRGC 73053-1	IRIS_313-10065	trop	Korea, Republic of
NYAO::IRGC 107091-1	IRIS_313-12340	subtrop	Lao People's Democratic Republic
C.MEDIO 7	B193	indx	
AUS 78-62::IRGC 69456-1	IRIS_313-9294	ind2	Gambia
KYAIN WAR ME DONE::IRGC 82819-1	IRIS_313-12074	aro	Myanmar
GZ 1368-5-4	B051	indx	
MOVE (MOKOLE)::IRGC 69739-1	IRIS_313-10048	indx	Benin
PEI ZAO 15::IRGC 75247-1	IRIS_313-11931	temp	China
MINDANAO::IRGC 44642-2	IRIS_313-11341	ind3	Philippines
KONTOL 86::IRGC 14281-1	IRIS_313-9070	ind3	Malaysia
KHAO SAHKORN::IRGC 65948-1	IRIS_313-11707	ind3	Thailand
ZARBASAIL::IRGC 37346-1	IRIS_313-11210	aus	Bangladesh
CHIANAN 8::IRGC 90-1	IRIS_313-9703	temp	Taiwan
GAM PERNG::IRGC 62135-1	IRIS_313-11635	ind3	Thailand
KALIBORO 600::IRGC 29367-1	IRIS_313-11067	aus	Bangladesh
IR 4630-22-2-5-1-3::G1	IRIS_313-15898	indx	
PULUT WAJIT::IRGC 24624-1	IRIS_313-10937	ind3	Indonesia
DINORADO::IRGC 52893-1	IRIS_313-11465	trop	Philippines
NERICA-L-20	CX376	ind1B	
MOLOG::IRGC 18282-1	IRIS_313-10796	trop	Indonesia
DORELLA::GERVEX 100-C1	IRIS_313-8037	japx	
ZAOXIAN 14	CX18	ind1A	
KARA SHALI::IRGC 9293-1	IRIS_313-10617	temp	
JEONBUKGUNGWEONNA::IRGC 73055-1	IRIS_313-10067	trop	Korea, Republic of
ECIA 179-S13	B194	ind1B	
KAUK PAHLING::IRGC 95823-2	IRIS_313-12266	subtrop	Myanmar
PUTEH KACA::IRGC 66614-1	IRIS_313-9310	ind3	Indonesia
J34	B052	ind2	
KARUEL::IRGC 83792-1	IRIS_313-12093	indx	Nepal
TSIMATAHOPAOSA::IRGC 69884-1	IRIS_313-10050	indx	Madagascar
PODAO::IRGC 44701-1	IRIS_313-11342	indx	Philippines
SINDANO 3::IRGC 75279-1	IRIS_313-11932	ind2	Kenya
MUTA GANJE::IRGC 26744-1	IRIS_313-9072	ind2	Bangladesh
